epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,41.9344,2.10987,4.07695,4.00748,1.75384,0,0.06579,0.06671,0.01087,0.00497,0.04827,0.05381,0.00861,0.00313,2.47423,3.94422,34.0623,1.78862,0,0.00995536,0.00331845,0.00995536,0.00331845,0.00995536,0.00331845,0.00995536,0.00331845
2,76.9971,2.17784,3.89906,3.48221,1.77565,0,0.11244,0.08307,0.03554,0.0143,0.11091,0.07405,0.03035,0.01098,2.31234,3.91065,16.3905,1.99651,0,0.0197578,0.00658593,0.0197578,0.00658593,0.0197578,0.00658593,0.0197578,0.00658593
3,108.89,2.31373,4.01948,3.47808,1.91454,0,0.02984,0.02641,0.00833,0.00309,0.02556,0.02934,0.00811,0.00268,2.73113,5.43937,35.1169,2.65502,0,0.0293622,0.00978741,0.0293622,0.00978741,0.0293622,0.00978741,0.0293622,0.00978741
4,140.464,2.44878,4.18845,3.64401,2.07788,0,0.07536,0.04673,0.01786,0.00644,0.07221,0.04157,0.01325,0.00381,2.6292,4.18592,12.5456,2.22594,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,172.333,2.36175,4.04014,3.49621,2.03381,0,0.07506,0.08211,0.02398,0.00916,0.07738,0.06859,0.02058,0.00735,2.40739,3.86867,37.5307,2.11446,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,203.913,2.27167,3.95107,3.40352,1.94218,0,0.14398,0.10635,0.03133,0.01101,0.15741,0.07452,0.02277,0.00694,2.40202,3.89534,16.509,2.05307,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,235.643,2.24247,3.90037,3.32471,1.91306,0,0.14645,0.08307,0.03563,0.01338,0.13679,0.06068,0.02807,0.00855,2.31546,3.86863,14.717,2.09338,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,265.86,2.20014,3.86352,3.27822,1.88219,0,0.14081,0.12081,0.05118,0.0208,0.15611,0.1031,0.04259,0.01385,2.23612,3.66755,12.4675,1.96934,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,297.605,2.17623,3.80853,3.21156,1.85935,0,0.16189,0.13037,0.06428,0.02495,0.16255,0.11375,0.05599,0.01823,2.21614,3.56255,19.3065,1.94306,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,329.204,2.13051,3.75513,3.15207,1.83524,0,0.18668,0.11865,0.06786,0.02754,0.19094,0.10305,0.05365,0.01744,2.20268,3.48571,20.8842,1.91413,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,360.591,2.12958,3.76453,3.13566,1.82856,0,0.1829,0.14002,0.07843,0.03307,0.16764,0.12952,0.06533,0.02179,2.13087,3.47332,14.7972,1.85254,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,392.155,2.10545,3.69417,3.08977,1.79853,0,0.17928,0.1344,0.07207,0.03097,0.16412,0.12234,0.06004,0.01948,2.14955,3.47428,18.5515,1.90611,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,423.608,2.09661,3.71361,3.10376,1.79762,0,0.18394,0.13699,0.07487,0.03055,0.17329,0.11906,0.06357,0.02215,2.09536,3.39895,16.9411,1.81551,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,455.192,2.06339,3.6708,3.04635,1.75844,0,0.23554,0.14252,0.09595,0.03877,0.2253,0.13367,0.08358,0.02803,2.09817,3.39317,15.0189,1.81585,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,486.704,2.09375,3.65211,3.07297,1.77213,0,0.19218,0.15715,0.08925,0.03674,0.18488,0.13749,0.07746,0.02443,2.04643,3.37671,17.9967,1.80121,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,518.115,2.04871,3.64881,2.98343,1.74266,0,0.21289,0.15381,0.091,0.03978,0.17947,0.13257,0.06834,0.02274,2.04355,3.42751,14.7404,1.7613,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,548.646,2.02967,3.59245,2.96624,1.72343,0,0.26588,0.15803,0.10735,0.0458,0.24615,0.1512,0.08846,0.03179,2.04087,3.32619,12.17,1.77586,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,578.465,2.0319,3.5892,2.95052,1.73212,0,0.23046,0.15736,0.09928,0.04421,0.21244,0.14554,0.08401,0.02798,2.04328,3.43105,13.1495,1.75053,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,608.744,2.01489,3.55659,2.92274,1.71458,0,0.22081,0.16314,0.10309,0.04673,0.19707,0.14698,0.08593,0.0287,1.99357,3.30575,15.2475,1.70164,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,638.796,1.99245,3.54346,2.90311,1.70004,0,0.25365,0.16806,0.10921,0.04773,0.22519,0.14883,0.09217,0.03269,2.00334,3.27348,19.0526,1.7219,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,668.811,1.98709,3.53427,2.88976,1.69828,0,0.2586,0.1504,0.10761,0.04622,0.23177,0.13198,0.0889,0.0288,1.9818,3.24948,10.7824,1.69169,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,698.719,1.98106,3.52356,2.88413,1.69065,0,0.25247,0.17841,0.1161,0.05094,0.24544,0.16018,0.09403,0.03173,1.97644,3.24668,13.3963,1.69626,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,728.751,1.96879,3.52478,2.85733,1.68444,0,0.22752,0.16949,0.10976,0.04719,0.21681,0.15301,0.0905,0.02925,1.97992,3.26755,14.5335,1.68972,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,758.918,1.95711,3.48936,2.82714,1.66619,0,0.26423,0.17736,0.11934,0.05423,0.25351,0.15884,0.0992,0.03432,1.95892,3.22982,15.5191,1.68854,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,788.874,1.96474,3.50931,2.82877,1.67673,0,0.26395,0.17431,0.11928,0.05572,0.24047,0.15767,0.09636,0.03491,1.97142,3.21909,11.621,1.70412,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,819.005,1.94382,3.45471,2.78899,1.64892,0,0.30113,0.17003,0.13025,0.05794,0.28375,0.16047,0.10949,0.03727,1.97176,3.23568,16.0787,1.66179,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,848.985,1.9368,3.46115,2.75316,1.64965,0,0.32638,0.18061,0.1447,0.06502,0.31539,0.1703,0.12692,0.04564,1.94849,3.12918,14.6257,1.6647,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,879.034,1.92706,3.42849,2.77518,1.64317,0,0.26042,0.19379,0.12418,0.05508,0.23104,0.17698,0.10357,0.03463,1.95733,3.19675,14.9319,1.6908,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,909.169,1.92971,3.45377,2.7582,1.64075,0,0.30643,0.18991,0.14259,0.06747,0.26519,0.17932,0.12406,0.04666,1.91924,3.12254,12.4421,1.64154,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,939.186,1.91385,3.41002,2.74019,1.62638,0,0.28233,0.2061,0.14673,0.06975,0.27242,0.19008,0.12652,0.04473,1.91024,3.11982,13.834,1.63923,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,969.512,1.93154,3.44377,2.75836,1.63348,0,0.27315,0.18696,0.13436,0.06193,0.26236,0.16801,0.11448,0.03952,1.90712,3.16046,14.5104,1.63716,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,999.428,1.91374,3.38425,2.69782,1.61321,0,0.30496,0.20294,0.14374,0.06719,0.30393,0.18176,0.12673,0.04497,1.90859,3.11925,11.8738,1.64497,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1029.65,1.90146,3.41054,2.7239,1.61727,0,0.30266,0.19796,0.14727,0.06687,0.29175,0.18254,0.13156,0.04718,1.89072,3.102,15.2127,1.63485,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1059.64,1.89486,3.38503,2.70687,1.61498,0,0.30934,0.19969,0.15219,0.07043,0.29154,0.17709,0.12895,0.04497,1.87536,3.09025,11.8445,1.6232,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1089.63,1.89246,3.39795,2.68119,1.61824,0,0.30895,0.2078,0.15656,0.07396,0.28333,0.19163,0.13485,0.04799,1.85358,3.06898,14.1812,1.60903,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1119.85,1.88516,3.36974,2.66399,1.60133,0,0.30565,0.21225,0.15954,0.07292,0.27871,0.194,0.13307,0.04751,1.88344,3.09846,14.1501,1.61724,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1149.9,1.86104,3.35129,2.63831,1.58746,0,0.30349,0.21609,0.15941,0.07312,0.2789,0.19501,0.13543,0.04715,1.8734,3.0918,15.7447,1.61398,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1179.88,1.88428,3.34303,2.66754,1.60285,0,0.30472,0.22443,0.16341,0.07794,0.30273,0.19655,0.14261,0.05069,1.84782,3.0608,14.7066,1.59383,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
