epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,54.097,2.35013,4.14675,4.24287,2.28082,0,0.07135,0.03342,0.016,0.00572,0.04615,0.02441,0.00907,0.003,2.38659,4.08108,7.58734,2.32146,0,0.00033296,0.00033296,0.067037
2,106.737,2.31753,3.8726,3.89204,2.28202,0,0.34562,0.03756,0.02558,0.00992,0.33028,0.03136,0.01898,0.00582,2.28156,3.7759,8.38185,2.21687,0,0.000659697,0.000659697,0.0340304
3,158.806,2.24488,3.72953,3.72147,2.21288,0,0.11522,0.10324,0.04124,0.01526,0.11119,0.09331,0.03636,0.01156,2.20877,3.5238,7.88647,2.08208,0,0.000979834,0.000979834,0.00101716
4,210.547,2.2136,3.69737,3.64737,2.16084,0,0.18361,0.08421,0.04871,0.01806,0.17855,0.07281,0.04411,0.01379,2.12881,3.43882,6.26219,2.02589,0,0.0009703,0.0009703,0.0009703
5,262.015,2.14872,3.61702,3.60978,2.11443,0,0.21877,0.10017,0.05988,0.02327,0.21537,0.09206,0.04782,0.01628,2.06318,3.4204,6.22069,1.99668,0,0.0009604,0.0009604,0.0009604
6,314.158,2.12045,3.56855,3.5668,2.07299,0,0.13668,0.12126,0.05502,0.02302,0.13935,0.11328,0.04894,0.01666,2.03434,3.35587,9.41818,1.96742,0,0.0009505,0.0009505,0.0009505
7,365.512,2.07604,3.50146,3.40378,2.0324,0,0.19354,0.09825,0.06162,0.02486,0.1956,0.0948,0.05352,0.01842,2.0606,3.38418,5.41206,1.99641,0,0.0009406,0.0009406,0.0009406
8,417.129,2.05493,3.4924,3.39886,2.00821,0,0.23145,0.13123,0.09007,0.03759,0.22572,0.11482,0.07402,0.02594,1.9847,3.29354,6.6271,1.92449,0,0.0009307,0.0009307,0.0009307
9,468.807,2.01603,3.43007,3.33256,1.9719,0,0.18796,0.14979,0.08134,0.03376,0.19213,0.13118,0.07054,0.02426,1.96621,3.21473,7.68507,1.91427,0,0.0009208,0.0009208,0.0009208
10,520.374,2.00143,3.39549,3.26307,1.94939,0,0.20826,0.16868,0.09013,0.03765,0.21075,0.15106,0.07881,0.02895,1.9655,3.15577,6.39788,1.87878,0,0.0009109,0.0009109,0.0009109
11,571.156,1.97227,3.39525,3.26329,1.93744,0,0.22903,0.14505,0.10187,0.04328,0.21428,0.13379,0.08655,0.02967,1.94466,3.19352,6.26721,1.88748,0,0.000901,0.000901,0.000901
12,621.391,1.974,3.36076,3.21396,1.92519,0,0.21965,0.16917,0.10101,0.04299,0.21669,0.14827,0.08604,0.03067,1.92142,3.15948,7.24139,1.8389,0,0.0008911,0.0008911,0.0008911
13,674.508,1.95419,3.34044,3.18058,1.90662,0,0.21501,0.16945,0.10167,0.04277,0.19818,0.14076,0.08298,0.02922,1.94107,3.17006,7.31883,1.86704,0,0.0008812,0.0008812,0.0008812
14,727.37,1.94007,3.31909,3.17869,1.89891,0,0.25329,0.16996,0.11066,0.04789,0.2428,0.15525,0.09682,0.03314,1.91893,3.11249,5.97379,1.83647,0,0.0008713,0.0008713,0.0008713
15,779.789,1.94005,3.29444,3.15472,1.89416,0,0.23446,0.17396,0.11689,0.04958,0.23696,0.16088,0.10223,0.03487,1.92331,3.10883,6.31883,1.84583,0,0.0008614,0.0008614,0.0008614
16,831.97,1.92307,3.30885,3.09109,1.88208,0,0.27404,0.17135,0.12069,0.05237,0.26727,0.16192,0.10945,0.03655,1.88786,3.09455,6.7586,1.79613,0,0.0008515,0.0008515,0.0008515
17,883.863,1.90303,3.26988,3.08157,1.8642,0,0.26557,0.17671,0.12604,0.05537,0.25248,0.16188,0.10581,0.03799,1.8605,3.08132,6.68496,1.79548,0,0.0008416,0.0008416,0.0008416
18,935.667,1.88309,3.2362,3.05876,1.84352,0,0.2761,0.18483,0.12762,0.05557,0.27119,0.17364,0.11143,0.03946,1.88418,3.04778,6.23823,1.80046,0,0.0008317,0.0008317,0.0008317
19,987.324,1.87712,3.22662,3.04055,1.83393,0,0.27034,0.18722,0.13371,0.05952,0.25466,0.16613,0.11112,0.039,1.86271,3.04367,5.71547,1.77851,0,0.0008218,0.0008218,0.0008218
20,1039,1.8825,3.22328,3.0326,1.83831,0,0.27788,0.177,0.12943,0.05705,0.2634,0.15626,0.10928,0.03898,1.8698,3.04248,5.79829,1.7755,0,0.0008119,0.0008119,0.0008119
21,1090.44,1.87037,3.20078,3.06603,1.82364,0,0.26194,0.18798,0.13015,0.05878,0.26749,0.18055,0.12064,0.04296,1.85494,3.0436,5.77455,1.76105,0,0.000802,0.000802,0.000802
22,1142.39,1.86413,3.20049,2.99575,1.82854,0,0.28371,0.20063,0.14538,0.06458,0.27101,0.18464,0.12307,0.04177,1.83877,3.00592,7.53633,1.77298,0,0.0007921,0.0007921,0.0007921
23,1194.22,1.85628,3.1945,2.94807,1.80697,0,0.32185,0.19347,0.15612,0.0704,0.30827,0.17953,0.13339,0.04882,1.81909,2.95418,6.25012,1.75341,0,0.0007822,0.0007822,0.0007822
24,1246.16,1.84708,3.17606,2.92225,1.81125,0,0.26062,0.20511,0.14256,0.06399,0.26113,0.18326,0.12495,0.04404,1.82538,2.9656,8.21058,1.74777,0,0.0007723,0.0007723,0.0007723
25,1297.23,1.8308,3.159,2.95544,1.79677,0,0.27731,0.21086,0.15305,0.06957,0.27783,0.18845,0.13246,0.04744,1.81812,2.99408,7.26083,1.72501,0,0.0007624,0.0007624,0.0007624
26,1347.34,1.83618,3.17427,2.90909,1.7888,0,0.29983,0.20421,0.15233,0.06792,0.2952,0.18461,0.13263,0.04687,1.81399,2.92303,6.88086,1.74073,0,0.0007525,0.0007525,0.0007525
27,1397.51,1.82112,3.118,2.88728,1.78487,0,0.31089,0.21813,0.1682,0.07531,0.31632,0.20098,0.14477,0.05264,1.80522,2.93619,7.76396,1.73964,0,0.0007426,0.0007426,0.0007426
28,1448.95,1.81517,3.11582,2.88759,1.78903,0,0.28464,0.21717,0.15543,0.06999,0.28139,0.19971,0.13734,0.05059,1.80346,2.92513,6.78379,1.74143,0,0.0007327,0.0007327,0.0007327
29,1500.57,1.79984,3.09422,2.85593,1.77105,0,0.30316,0.22289,0.16182,0.07352,0.283,0.19659,0.13887,0.05226,1.80122,2.94222,7.22525,1.72748,0,0.0007228,0.0007228,0.0007228
30,1552.26,1.79625,3.08466,2.8414,1.76811,0,0.30148,0.21612,0.16127,0.07491,0.30014,0.19954,0.14117,0.05076,1.78869,2.92444,7.09949,1.70387,0,0.0007129,0.0007129,0.0007129
31,1604.01,1.79198,3.08764,2.82029,1.75842,0,0.28354,0.22285,0.15617,0.07137,0.27227,0.19814,0.1318,0.0473,1.77953,2.9214,7.60355,1.71838,0,0.000703,0.000703,0.000703
32,1655.69,1.76798,3.07188,2.79339,1.74143,0,0.30684,0.21527,0.1599,0.07548,0.30463,0.2052,0.14393,0.05395,1.76811,2.89744,6.69249,1.70845,0,0.0006931,0.0006931,0.0006931
